팀번호,팀이름,팀유형,주차,출결률,과제제출률,발표참여도,휴대폰매너,안전수칙준수율,그라운드룰준수,텀블러사용률,에어컨전등관리,잔반량(g),잔반점수,G소계,S소계,E소계,종합점수,등급
1,대한민국,우수,1,92.3,91.4,92.1,90,100,100,90.3,89.9,48.8,75.6,91.9,96.7,85.2,91.3,A
1,대한민국,우수,2,92.6,91.9,96.5,100,90,100,91.6,89.9,69.1,65.4,93.7,96.7,82.3,90.9,A
1,대한민국,우수,3,95.1,87.6,96.5,100,90,100,93.5,90.5,38.4,80.8,93.1,96.7,88.2,92.7,A
1,대한민국,우수,4,90.2,92.3,91.3,100,100,100,96.8,94.8,48.3,75.9,91.2,100.0,89.2,93.5,A
2,브라질,우수,1,94.3,92.1,93.9,90,100,100,94.6,100.0,60.7,69.6,93.4,96.7,88.1,92.7,A
2,브라질,우수,2,84.5,86.5,94.5,90,80,100,88.4,93.9,63.0,68.5,88.5,90.0,83.6,87.4,B
2,브라질,우수,3,97.9,87.5,95.8,100,80,100,98.9,93.8,33.2,83.4,93.7,93.3,92.1,93.0,A
2,브라질,우수,4,89.5,93.3,86.5,100,100,100,90.9,91.8,59.6,70.2,89.8,100.0,84.3,91.4,A
3,아르헨티나,평균,1,81.1,91.0,86.4,100,100,90,80.8,77.1,117.9,41.0,86.2,96.7,66.3,83.1,B
3,아르헨티나,평균,2,81.7,73.5,69.6,100,90,90,72.5,80.1,94.9,52.6,75.0,93.3,68.4,78.9,C
3,아르헨티나,평균,3,75.9,66.3,88.6,100,100,90,73.9,68.7,83.7,58.2,76.9,96.7,66.9,80.2,B
3,아르헨티나,평균,4,74.9,74.8,80.7,90,80,90,67.6,69.7,109.1,45.4,76.8,86.7,60.9,74.8,C
4,프랑스,평균,1,77.4,88.8,88.8,90,70,80,61.4,69.7,103.4,48.3,85.0,80.0,59.8,74.9,C
4,프랑스,평균,2,88.5,75.6,72.1,90,100,80,81.0,80.0,81.0,59.5,78.7,90.0,73.5,80.7,B
4,프랑스,평균,3,78.4,81.5,69.1,100,100,80,79.7,88.1,107.9,46.0,76.3,93.3,71.3,80.3,B
4,프랑스,평균,4,82.0,76.1,70.8,70,70,70,69.1,80.7,109.4,45.3,76.3,70.0,65.0,70.4,C
5,잉글랜드,우수,1,91.4,84.3,92.6,100,90,100,91.9,86.7,49.7,75.1,89.4,96.7,84.6,90.2,A
5,잉글랜드,우수,2,94.5,100.0,86.7,100,90,100,94.9,93.3,50.6,74.7,93.8,96.7,87.6,92.7,A
5,잉글랜드,우수,3,97.5,96.7,90.5,90,90,100,94.0,100.0,49.7,75.2,94.9,93.3,89.7,92.6,A
5,잉글랜드,우수,4,93.3,94.0,91.5,90,100,100,93.4,100.0,65.5,67.3,92.9,96.7,86.9,92.2,A
6,스페인,평균,1,74.2,62.8,65.6,100,100,90,63.6,67.0,127.8,36.1,67.5,96.7,55.6,73.3,C
6,스페인,평균,2,77.9,69.9,62.4,90,100,90,78.3,64.1,89.8,55.1,70.1,93.3,65.8,76.4,C
6,스페인,평균,3,73.8,70.2,75.5,90,70,100,72.1,88.2,86.5,56.8,73.2,86.7,72.4,77.4,C
6,스페인,평균,4,77.5,61.8,81.8,100,90,100,71.4,83.5,97.0,51.5,73.7,96.7,68.8,79.7,C
7,독일,개선필요,1,44.5,39.1,48.1,100,70,70,61.7,69.3,153.1,23.5,43.9,80.0,51.5,58.5,E
7,독일,개선필요,2,48.7,70.4,45.5,90,80,100,56.8,52.3,149.6,25.2,54.9,90.0,44.8,63.2,D
7,독일,개선필요,3,60.6,59.8,51.2,70,20,70,38.2,51.6,173.5,13.3,57.2,53.3,34.4,48.3,E
7,독일,개선필요,4,58.8,58.7,64.1,90,90,70,58.6,45.8,184.8,7.6,60.6,83.3,37.3,60.4,D
8,포르투갈,개선필요,1,46.0,65.3,54.8,90,60,80,41.3,46.7,203.2,0.0,55.3,76.7,29.3,53.8,E
8,포르투갈,개선필요,2,58.9,42.8,56.4,70,80,90,63.6,61.1,142.2,28.9,52.7,80.0,51.2,61.3,D
8,포르투갈,개선필요,3,58.1,54.0,53.4,90,60,70,71.2,48.2,169.6,15.2,55.2,73.3,44.9,57.8,E
8,포르투갈,개선필요,4,57.6,68.4,62.1,80,70,50,59.0,55.4,171.5,14.2,62.7,66.7,42.9,57.4,E
9,네덜란드,평균,1,84.3,68.3,58.6,90,100,90,72.5,67.9,116.6,41.7,70.4,93.3,60.7,74.8,C
9,네덜란드,평균,2,81.0,80.4,78.9,90,100,90,80.1,67.3,115.2,42.4,80.1,93.3,63.3,78.9,C
9,네덜란드,평균,3,61.7,79.2,73.8,100,100,100,77.0,71.7,104.3,47.8,71.6,100.0,65.5,79.0,C
9,네덜란드,평균,4,85.1,70.1,74.0,100,90,100,70.8,72.8,85.3,57.4,76.4,96.7,67.0,80.0,B
10,벨기에,우수,1,88.8,86.6,90.7,100,100,100,85.4,98.9,35.1,82.5,88.7,100.0,88.9,92.5,A
10,벨기에,우수,2,91.5,94.6,95.1,100,90,90,92.6,87.1,51.9,74.1,93.7,93.3,84.6,90.5,A
10,벨기에,우수,3,89.5,97.7,93.0,100,90,100,96.9,92.9,45.2,77.4,93.4,96.7,89.1,93.1,A
10,벨기에,우수,4,95.7,95.3,86.6,100,100,90,89.5,89.4,42.2,78.9,92.5,96.7,85.9,91.7,A
11,일본,평균,1,75.0,72.0,83.9,90,80,80,74.4,81.6,88.6,55.7,77.0,83.3,70.5,76.9,C
11,일본,평균,2,76.4,75.3,86.3,80,90,80,83.9,68.9,102.3,48.8,79.3,83.3,67.2,76.6,C
11,일본,평균,3,83.5,74.0,75.9,90,90,90,71.6,67.0,88.0,56.0,77.8,90.0,64.9,77.6,C
11,일본,평균,4,68.6,78.9,69.7,80,90,90,86.7,75.3,121.5,39.3,72.4,86.7,67.1,75.4,C
12,미국,개선필요,1,68.5,74.1,61.3,90,70,90,52.7,52.0,149.5,25.2,67.9,83.3,43.3,64.8,D
12,미국,개선필요,2,56.4,55.3,61.4,80,90,70,55.6,61.1,150.5,24.8,57.7,80.0,47.2,61.6,D
